,experiment_id,dataset_length,We,Wf,Wt,num_fail_cases_all,num_selected_tests_baseline,num_selected_tests_use_patterns,total_exec_time_baseline,total_exec_time_use_patterns,num_fail_cases_baseline,num_fail_cases_use_patterns,percentage_fail_cases_baseline,percentage_fail_cases_use_patterns
0,1,10000,0.25,2,1,3470,4020,3638,75709.93582172344,64633.85569168706,1013,916,0.29193083573487033,0.2639769452449568
1,2,10000,1.0,2,1,3470,2167,1690,39001.69475998552,28570.31140499649,859,685,0.24755043227665707,0.19740634005763688
2,3,10000,2.0,2,1,3470,1700,1427,26677.043961938365,21248.02142782165,716,651,0.20634005763688762,0.18760806916426512
3,4,10000,4.0,2,1,3470,1491,1353,15893.64018257058,13384.429094674419,635,635,0.1829971181556196,0.1829971181556196
4,5,10000,12.0,2,1,3470,799,799,8301.582672128787,8301.582672128787,144,144,0.0414985590778098,0.0414985590778098
5,6,10000,24.0,2,1,3470,799,799,8301.582672128787,8301.582672128787,144,144,0.0414985590778098,0.0414985590778098
