,experiment_id,dataset_length,We,Wf,Wt,num_fail_cases_all,num_selected_tests_baseline,num_selected_tests_use_patterns,total_exec_time_baseline,total_exec_time_use_patterns,num_fail_cases_baseline,num_fail_cases_use_patterns,percentage_fail_cases_baseline,percentage_fail_cases_use_patterns
0,1,10000,3,0.5,0.5,3470,8763,8504,81912.2261597318,62702.67422459696,3219,2937,0.9276657060518732,0.8463976945244956
1,2,10000,3,1.0,0.5,3470,9687,9428,104338.79192649706,89695.07489432103,3460,3247,0.9971181556195965,0.9357348703170029
2,3,10000,3,2.0,0.5,3470,9948,9689,109554.35013353558,105426.48124560436,3463,3247,0.9979827089337175,0.9357348703170029
3,4,10000,3,3.0,0.5,3470,10000,9741,110663.96855674365,106773.60918653199,3470,3247,1.0,0.9357348703170029
4,5,10000,3,4.0,0.5,3470,10000,9741,110663.96855674365,106773.60918653199,3470,3247,1.0,0.9357348703170029
5,6,10000,3,5.0,0.5,3470,10000,9741,110663.96855674365,106773.60918653199,3470,3247,1.0,0.9357348703170029
